 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
221,150.673,0.000,300.965,148.609,46.070,16.275,11.788,156.610,0.892,16.517,0.000,640,317,160.560,12.292,1.381,0.724,0.959
222,191.594,0.000,314.162,150.048,53.668,19.643,12.419,2.833,0.836,19.586,0.000,665,332,10.784,12.827,1.582,0.632,0.953
223,197.469,0.542,238.194,151.335,51.947,17.387,14.461,148.827,0.920,17.789,0.213,504,319,145.491,14.750,1.202,0.832,0.969
224,177.534,0.000,127.525,153.077,48.976,16.432,13.757,97.174,0.930,16.807,0.000,274,317,107.447,13.285,1.194,0.837,0.974
225,350.031,0.000,136.005,156.755,71.788,23.678,18.822,80.483,0.854,24.627,0.000,286,368,71.565,19.207,1.258,0.795,0.958
226,231.675,0.000,580.058,155.903,57.555,18.613,15.848,126.551,0.879,19.332,0.000,1251,327,143.673,16.194,1.175,0.851,0.956
227,293.161,0.000,710.421,156.892,63.163,20.565,18.151,172.218,0.923,20.892,0.000,1529,336,164.745,17.866,1.133,0.883,0.975
228,303.444,0.529,535.260,158.812,65.375,21.058,18.347,98.277,0.892,22.036,0.207,1160,324,110.695,18.782,1.148,0.871,0.963
229,382.557,4.196,482.222,159.744,72.501,22.862,21.305,124.012,0.915,23.808,1.646,1038,327,120.018,21.379,1.073,0.932,0.972
230,286.236,0.000,623.193,158.607,63.274,21.048,17.315,129.259,0.898,21.763,0.000,1346,326,130.732,17.492,1.216,0.823,0.969
231,236.711,0.000,833.825,157.155,57.666,20.174,14.939,153.694,0.895,20.430,0.000,1799,336,160.346,15.365,1.350,0.741,0.968
232,206.073,0.000,310.950,158.098,53.399,17.777,14.759,92.903,0.908,18.122,0.000,671,327,106.144,14.659,1.204,0.830,0.968
233,344.575,0.000,228.835,160.266,70.335,23.506,18.664,150.059,0.875,24.656,0.000,477,335,144.834,19.650,1.259,0.794,0.964
234,221.182,0.484,383.178,159.290,55.722,18.520,15.206,122.067,0.895,19.327,0.190,827,329,121.430,15.872,1.218,0.821,0.964
